no,x1,x2,x3,y
0,9.852,2.531,7.608,124.111
1,8.516,3.811,4.539,137.368
2,0.416,9.448,1.251,150.623
3,7.852,0.355,2.133,90.407
4,5.855,9.925,2.039,211.147
5,4.463,2.287,9.447,62.276
6,0.623,4.868,9.000,65.282
7,8.490,5.138,1.809,166.177
8,4.143,1.396,2.544,63.160
9,0.800,2.887,9.669,30.840
10,1.355,0.542,8.249,5.107
11,1.152,2.364,9.379,27.577
12,8.749,9.874,2.350,238.181
13,8.427,3.337,1.594,141.948
14,4.030,5.187,3.306,121.296
15,3.664,6.054,3.492,130.349
16,2.465,6.894,8.102,112.763
17,6.278,5.286,1.188,151.033
18,4.681,3.972,7.367,92.660
19,2.877,9.166,4.636,160.983
20,6.627,3.132,8.825,95.805
21,4.737,0.418,4.996,51.524
22,2.346,8.175,8.921,126.998
23,4.823,5.755,0.907,142.372
24,7.232,1.146,0.696,96.710
25,0.530,2.824,3.578,49.901
26,1.511,6.088,1.668,111.609
27,2.975,3.334,0.695,88.602
28,1.526,1.832,8.570,27.159
29,7.244,7.036,9.442,159.651
30,7.287,8.882,6.952,196.614
31,5.748,2.232,4.688,85.216
32,0.914,4.120,1.761,73.277
33,1.442,8.816,4.906,141.532
34,3.711,4.455,3.887,104.119
35,8.557,8.880,5.123,215.623
36,2.869,4.903,6.398,90.884
37,8.200,2.952,0.932,132.194
38,6.668,5.733,9.673,136.151
39,9.852,8.909,3.001,233.414
40,2.716,0.542,2.489,37.163
41,1.802,2.868,2.988,65.458
42,6.391,2.109,8.792,77.316
43,5.531,7.146,4.256,162.266
44,5.112,1.046,7.279,56.447
45,3.069,0.488,9.967,16.742
46,5.411,4.433,7.146,109.811
47,4.692,4.788,0.767,125.107
48,5.670,7.536,7.369,158.958
49,1.686,5.837,7.584,90.084
50,3.910,1.976,2.441,74.502
51,6.138,2.812,0.052,114.379
52,6.609,4.573,3.766,132.742
53,6.808,4.162,5.216,126.243
